Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
Cordon Caulle,Las Sopas,SVZ,-40.49,-72.17,this_study,G,0.99999847569094,1.40845298009532E-11,1.524294975445E-06
Chillan,CH1,SVZ,-36.9,-71.4,this_study,G,,,
Chillan,CH3,SVZ,-36.9,-71.4,this_study,G,,,
Aguas Calientes,W,SVZ,-40.74,-72.31,published,W,0.999985820438203,1.12357979347163E-10,1.4179449438744E-05
Puyehue,W,SVZ,-40.71,-72.33,published,W,0.999963015433188,2.66656841796571E-10,3.6984300154718E-05
Chihuío,W,SVZ,-40.19,-71.93,published,W,0.999821829015161,1.07507725145188E-09,0.000178169909761
Hipólito Muñoz,W,SVZ,-39.76,-71.79,published,W,0.999951339809729,1.89384704235096E-10,4.86600008861286E-05
Hipólito Muñoz,W,SVZ,-39.76,-71.79,published,W,0.999959755472838,1.63392169978964E-10,4.02443637702774E-05
Liquiñe,W,SVZ,-39.74,-71.83,published,W,0.999982696819892,4.65108188067883E-11,1.73031335966897E-05
Coñaripe,W,SVZ,-39.64,-71.92,published,W,0.999951891299701,2.75468820070378E-10,4.81084248303231E-05
Minetúe,W,SVZ,-39.25,-71.72,published,W,0.999899960900454,6.84862949337783E-10,0.000100038414683
Quimey-Co,W,SVZ,-39.22,-71.7,published,W,0.999937351855087,3.74508376974015E-10,6.26477704050361E-05
Quimey-Co,W,SVZ,-39.22,-71.7,published,W,0.999941690185142,3.68982288598057E-10,5.83094458754824E-05
Balboa,W,SVZ,-38.96,-71.71,published,W,0.999957469736858,3.81663209595025E-10,4.25298814785061E-05
Balboa,W,SVZ,-38.96,-71.71,published,W,0.99995760201704,3.81663114056485E-10,4.23976012971265E-05
Rio Blanco Las Vacas,W,SVZ,-38.58,-71.63,published,W,0.999992636404254,3.15454601264821E-11,7.36356420047491E-06
Tolhuaca⁎,W,SVZ,-38.24,-71.72,published,W,0.999998876340845,4.31036643171133E-12,1.1236548446892E-06
Nitrao,W,SVZ,-37.69,-71.3,published,W,0.999940830521391,2.61764641931142E-10,5.91692168444249E-05
Nitrao,W,SVZ,-37.69,-71.3,published,W,0.999948622333061,2.38083027928994E-10,5.13774288557176E-05
Quilaquin,W,SVZ,-37.61,-71.41,published,W,0.999877650571946,7.24549069559041E-10,0.000122348703504
